season,division,matchday,date,time,home_team,away_team,score
1932-1933,1,7,1/8/33,NULL,Real Betis,Arenas Club,1:1
1932-1933,1,7,1/8/33,NULL,Donostia,Valencia,4:1
1932-1933,1,7,1/8/33,NULL,Athletic,Barcelona,1:3
1932-1933,1,7,1/8/33,NULL,Espanyol,Alavés,3:1
1932-1933,1,8,1/15/33,NULL,Valencia,Athletic,1:5
1932-1933,1,8,1/15/33,NULL,Alavés,Real Betis,2:0
1932-1933,1,8,1/17/33,NULL,Arenas Club,Real Madrid,1:5
1932-1933,1,8,1/17/33,NULL,Barcelona,Espanyol,1:1
1932-1933,1,8,1/17/33,NULL,Racing,Donostia,7:1
1932-1933,1,9,1/22/33,NULL,Valencia,Alavés,5:2
1932-1933,1,9,1/22/33,NULL,Athletic,Real Madrid,0:2
1932-1933,1,9,1/22/33,NULL,Real Betis,Espanyol,1:2
1932-1933,1,9,1/22/33,NULL,Barcelona,Racing,4:0
1932-1933,1,9,1/22/33,NULL,Donostia,Arenas Club,2:1
1932-1933,1,10,1/29/33,NULL,Real Madrid,Espanyol,2:0
1932-1933,1,10,1/29/33,NULL,Arenas Club,Valencia,2:2
1932-1933,1,10,1/29/33,NULL,Barcelona,Donostia,3:2
1932-1933,1,10,1/29/33,NULL,Racing,Alavés,9:0
1932-1933,1,10,1/29/33,NULL,Real Betis,Athletic,1:5
1932-1933,1,11,2/5/33,NULL,Donostia,Real Madrid,1:2
1932-1933,1,11,2/5/33,NULL,Alavés,Barcelona,2:1
1932-1933,1,11,2/5/33,NULL,Valencia,Real Betis,2:1
1932-1933,1,11,2/5/33,NULL,Athletic,Racing,9:5
1932-1933,1,11,2/5/33,NULL,Espanyol,Arenas Club,3:2
1932-1933,1,12,2/12/33,NULL,Arenas Club,Athletic,4:2
1932-1933,1,12,2/12/33,NULL,Real Madrid,Alavés,2:0
1932-1933,1,12,2/12/33,NULL,Donostia,Real Betis,2:2
1932-1933,1,12,2/12/33,NULL,Racing,Espanyol,3:1
1932-1933,1,12,2/12/33,NULL,Barcelona,Valencia,4:2
1932-1933,1,13,2/19/33,NULL,Real Betis,Real Madrid,0:0
1932-1933,1,13,2/19/33,NULL,Arenas Club,Barcelona,5:1
1932-1933,1,13,2/19/33,NULL,Espanyol,Athletic,2:5
1932-1933,1,13,2/19/33,NULL,Valencia,Racing,6:2
1932-1933,1,13,2/28/33,NULL,Alavés,Donostia,1:0
1932-1933,1,14,2/26/33,NULL,Donostia,Espanyol,6:1
1932-1933,1,14,2/26/33,NULL,Athletic,Alavés,4:0
1932-1933,1,14,2/26/33,NULL,Racing,Arenas Club,2:1
1932-1933,1,14,2/26/33,NULL,Valencia,Real Madrid,0:1
1932-1933,1,14,2/26/33,NULL,Barcelona,Real Betis,4:1
1932-1933,1,15,3/5/33,NULL,Real Madrid,Barcelona,2:1
1932-1933,1,15,3/5/33,NULL,Espanyol,Valencia,5:2
1932-1933,1,15,3/5/33,NULL,Athletic,Donostia,1:2
1932-1933,1,15,3/5/33,NULL,Real Betis,Racing,3:2
1932-1933,1,15,3/5/33,NULL,Alavés,Arenas Club,1:1
1932-1933,1,16,3/12/33,NULL,Alavés,Espanyol,1:0
1932-1933,1,16,3/12/33,NULL,Valencia,Donostia,2:2
1932-1933,1,16,3/12/33,NULL,Barcelona,Athletic,2:3
1932-1933,1,16,3/12/33,NULL,Racing,Real Madrid,4:2
1932-1933,1,16,3/12/33,NULL,Arenas Club,Real Betis,3:3
1932-1933,1,17,3/19/33,NULL,Espanyol,Barcelona,2:1
1932-1933,1,17,3/19/33,NULL,Athletic,Valencia,8:2
1932-1933,1,17,3/19/33,NULL,Donostia,Racing,8:0
1932-1933,1,17,3/19/33,NULL,Real Madrid,Arenas Club,8:2
1932-1933,1,17,3/19/33,NULL,Real Betis,Alavés,3:1
1932-1933,1,18,3/26/33,NULL,Racing,Barcelona,4:4
1932-1933,1,18,3/26/33,NULL,Real Madrid,Athletic,0:1
1932-1933,1,18,3/26/33,NULL,Alavés,Valencia,1:1
1932-1933,1,18,3/26/33,NULL,Arenas Club,Donostia,6:0
1932-1933,1,18,3/28/33,NULL,Espanyol,Real Betis,1:2
1933-1934,1,1,11/5/33,NULL,Real Oviedo,Barcelona,7:3
1933-1934,1,1,11/5/33,NULL,Valencia,Athletic,2:2
1933-1934,1,1,11/5/33,NULL,Espanyol,Donostia,4:0
1933-1934,1,1,11/5/33,NULL,Real Betis,Racing,2:1
1933-1934,1,1,11/5/33,NULL,Arenas Club,Real Madrid,3:3
1933-1934,1,2,11/12/33,NULL,Barcelona,Espanyol,5:0
1933-1934,1,2,11/12/33,NULL,Real Madrid,Valencia,3:2
1933-1934,1,2,11/12/33,NULL,Athletic,Real Betis,5:0
1933-1934,1,2,11/12/33,NULL,Racing,Real Oviedo,4:3
1933-1934,1,2,11/12/33,NULL,Donostia,Arenas Club,4:1
1933-1934,1,3,11/18/33,NULL,Arenas Club,Barcelona,3:1
1933-1934,1,3,11/18/33,NULL,Espanyol,Racing,5:0
1933-1934,1,3,11/18/33,NULL,Valencia,Real Betis,2:1
1933-1934,1,3,11/18/33,NULL,Real Oviedo,Athletic,2:2
1933-1934,1,3,11/18/33,NULL,Real Madrid,Donostia,2:0
1933-1934,1,4,11/26/33,NULL,Barcelona,Real Madrid,1:2
1933-1934,1,4,11/26/33,NULL,Athletic,Espanyol,5:0
1933-1934,1,4,11/26/33,NULL,Donostia,Valencia,3:1
1933-1934,1,4,11/26/33,NULL,Real Betis,Real Oviedo,4:2
1933-1934,1,4,11/26/33,NULL,Racing,Arenas Club,4:1
1933-1934,1,5,12/3/33,NULL,Real Madrid,Racing,1:0
1933-1934,1,5,12/3/33,NULL,Arenas Club,Athletic,2:0
1933-1934,1,5,12/3/33,NULL,Donostia,Barcelona,2:0
1933-1934,1,5,12/3/33,NULL,Valencia,Real Oviedo,1:0
1933-1934,1,5,12/3/33,NULL,Espanyol,Real Betis,3:1
1933-1934,1,6,12/10/33,NULL,Athletic,Real Madrid,5:1
1933-1934,1,6,12/10/33,NULL,Real Oviedo,Espanyol,3:1
1933-1934,1,6,12/10/33,NULL,Barcelona,Valencia,5:2
1933-1934,1,6,12/10/33,NULL,Racing,Donostia,1:1
1933-1934,1,6,12/10/33,NULL,Real Betis,Arenas Club,2:0
1933-1934,1,7,12/17/33,NULL,Real Madrid,Real Betis,0:1
1933-1934,1,7,12/17/33,NULL,Arenas Club,Real Oviedo,1:1
1933-1934,1,7,12/17/33,NULL,Valencia,Espanyol,1:0
1933-1934,1,7,12/17/33,NULL,Donostia,Athletic,3:0
1933-1934,1,7,12/17/33,NULL,Barcelona,Racing,6:3
1933-1934,1,8,12/24/33,NULL,Real Oviedo,Real Madrid,3:2
1933-1934,1,8,12/24/33,NULL,Athletic,Barcelona,6:1
1933-1934,1,8,12/24/33,NULL,Real Betis,Donostia,1:1
1933-1934,1,8,12/24/33,NULL,Valencia,Racing,1:2
1933-1934,1,8,12/24/33,NULL,Espanyol,Arenas Club,6:2
1933-1934,1,9,12/31/33,NULL,Donostia,Real Oviedo,3:1
1933-1934,1,9,12/31/33,NULL,Racing,Athletic,3:2
1933-1934,1,9,12/31/33,NULL,Real Madrid,Espanyol,3:2
1933-1934,1,9,12/31/33,NULL,Arenas Club,Valencia,1:2
1933-1934,1,9,12/31/33,NULL,Barcelona,Real Betis,5:1
1933-1934,1,10,1/7/34,NULL,Athletic,Valencia,6:2
1933-1934,1,10,1/7/34,NULL,Racing,Real Betis,4:1
1933-1934,1,10,1/7/34,NULL,Barcelona,Real Oviedo,2:0
1933-1934,1,10,1/7/34,NULL,Real Madrid,Arenas Club,2:1
1933-1934,1,10,1/7/34,NULL,Donostia,Espanyol,3:3
1933-1934,1,11,1/13/34,NULL,Espanyol,Barcelona,3:2
1933-1934,1,11,1/14/34,NULL,Valencia,Real Madrid,2:1
1933-1934,1,11,1/14/34,NULL,Real Betis,Athletic,1:3
1933-1934,1,11,1/14/34,NULL,Arenas Club,Donostia,0:0
1933-1934,1,11,1/14/34,NULL,Real Oviedo,Racing,3:1
1933-1934,1,12,1/21/34,NULL,Donostia,Real Madrid,0:3
1933-1934,1,12,1/21/34,NULL,Barcelona,Arenas Club,4:0
1933-1934,1,12,1/21/34,NULL,Athletic,Real Oviedo,6:2
1933-1934,1,12,1/21/34,NULL,Racing,Espanyol,3:1
1933-1934,1,12,1/21/34,NULL,Real Betis,Valencia,2:1
1933-1934,1,13,1/28/34,NULL,Real Madrid,Barcelona,4:0
1933-1934,1,13,1/28/34,NULL,Espanyol,Athletic,1:4
1933-1934,1,13,1/28/34,NULL,Valencia,Donostia,4:1
1933-1934,1,13,1/28/34,NULL,Real Oviedo,Real Betis,4:3
1933-1934,1,13,1/28/34,NULL,Arenas Club,Racing,2:1
1933-1934,1,14,2/4/34,NULL,Real Betis,Espanyol,3:1
1933-1934,1,14,2/4/34,NULL,Athletic,Arenas Club,9:0
1933-1934,1,14,2/4/34,NULL,Racing,Real Madrid,4:3
1933-1934,1,14,2/4/34,NULL,Barcelona,Donostia,4:0
1933-1934,1,14,2/22/34,NULL,Real Oviedo,Valencia,7:0
1933-1934,1,15,2/11/34,NULL,Valencia,Barcelona,2:0
1933-1934,1,15,2/11/34,NULL,Real Madrid,Athletic,3:0
1933-1934,1,15,2/11/34,NULL,Arenas Club,Real Betis,0:1
1933-1934,1,15,2/11/34,NULL,Espanyol,Real Oviedo,5:2
1933-1934,1,15,2/11/34,NULL,Donostia,Racing,2:1
1933-1934,1,16,2/18/34,NULL,Espanyol,Valencia,2:2
1933-1934,1,16,2/18/34,NULL,Athletic,Donostia,2:1
1933-1934,1,16,2/18/34,NULL,Racing,Barcelona,3:1
1933-1934,1,16,2/18/34,NULL,Real Betis,Real Madrid,2:1
1933-1934,1,16,2/18/34,NULL,Real Oviedo,Arenas Club,7:0
1933-1934,1,17,2/25/34,NULL,Barcelona,Athletic,2:1
1933-1934,1,17,2/25/34,NULL,Arenas Club,Espanyol,1:2
1933-1934,1,17,2/25/34,NULL,Racing,Valencia,2:1
1933-1934,1,17,2/25/34,NULL,Donostia,Real Betis,3:2
1933-1934,1,17,2/25/34,NULL,Real Madrid,Real Oviedo,5:1
1933-1934,1,18,3/4/34,NULL,Valencia,Arenas Club,0:0
1933-1934,1,18,3/4/34,NULL,Espanyol,Real Madrid,2:2
1933-1934,1,18,3/4/34,NULL,Real Betis,Barcelona,1:0
1933-1934,1,18,3/4/34,NULL,Real Oviedo,Donostia,3:2
1933-1934,1,18,3/4/34,NULL,Athletic,Racing,3:1
1934-1935,1,1,12/2/34,NULL,Sevilla FC,Athletic Madrid,4:0
1934-1935,1,1,12/2/34,NULL,Racing,Donostia,2:1
1934-1935,1,1,12/2/34,NULL,Real Madrid,Real Betis,0:1
1934-1935,1,1,12/2/34,NULL,Athletic,Real Oviedo,4:0
1934-1935,1,1,12/2/34,NULL,Barcelona,Arenas Club,4:0
1934-1935,1,1,12/2/34,NULL,Valencia,Espanyol,1:3
1934-1935,1,2,12/9/34,NULL,Donostia,Real Madrid,1:2
1934-1935,1,2,12/9/34,NULL,Real Betis,Barcelona,2:1
1934-1935,1,2,12/9/34,NULL,Espanyol,Athletic,1:3
1934-1935,1,2,12/9/34,NULL,Arenas Club,Valencia,2:1
1934-1935,1,2,12/9/34,NULL,Real Oviedo,Sevilla FC,4:2
1934-1935,1,2,12/9/34,NULL,Athletic Madrid,Racing,3:1
1934-1935,1,3,12/16/34,NULL,Barcelona,Donostia,4:0
1934-1935,1,3,12/16/34,NULL,Arenas Club,Real Betis,0:3
1934-1935,1,3,12/16/34,NULL,Valencia,Athletic,1:0
1934-1935,1,3,12/16/34,NULL,Sevilla FC,Espanyol,5:1
1934-1935,1,3,12/16/34,NULL,Racing,Real Oviedo,1:3
1934-1935,1,3,12/16/34,NULL,Real Madrid,Athletic Madrid,2:0
1934-1935,1,4,12/23/34,NULL,Espanyol,Racing,4:2
1934-1935,1,4,12/23/34,NULL,Donostia,Arenas Club,3:2
1934-1935,1,4,12/23/34,NULL,Athletic,Sevilla FC,4:0
1934-1935,1,4,12/23/34,NULL,Real Betis,Valencia,3:0
1934-1935,1,4,12/23/34,NULL,Athletic Madrid,Barcelona,1:3
1934-1935,1,4,12/23/34,NULL,Real Oviedo,Real Madrid,0:3
1934-1935,1,5,12/30/34,NULL,Real Madrid,Espanyol,7:2
1934-1935,1,5,12/30/34,NULL,Arenas Club,Athletic Madrid,3:1
1934-1935,1,5,12/30/34,NULL,Valencia,Sevilla FC,2:1
1934-1935,1,5,12/30/34,NULL,Real Betis,Donostia,1:0
1934-1935,1,5,12/30/34,NULL,Barcelona,Real Oviedo,5:2
1934-1935,1,5,12/30/34,NULL,Racing,Athletic,6:0
1934-1935,1,6,1/6/35,NULL,Athletic Madrid,Real Betis,4:2
1934-1935,1,6,1/6/35,NULL,Donostia,Valencia,3:1
1934-1935,1,6,1/6/35,NULL,Real Oviedo,Arenas Club,4:1
1934-1935,1,6,1/6/35,NULL,Athletic,Real Madrid,4:1
1934-1935,1,6,1/6/35,NULL,Espanyol,Barcelona,4:1
1934-1935,1,6,1/6/35,NULL,Sevilla FC,Racing,2:0
1934-1935,1,7,1/13/35,NULL,Valencia,Racing,2:0
1934-1935,1,7,1/13/35,NULL,Barcelona,Athletic,2:2
1934-1935,1,7,1/13/35,NULL,Arenas Club,Espanyol,0:4
1934-1935,1,7,1/13/35,NULL,Donostia,Athletic Madrid,4:0
1934-1935,1,7,1/13/35,NULL,Real Madrid,Sevilla FC,3:1
1934-1935,1,7,1/13/35,NULL,Real Betis,Real Oviedo,2:1
1934-1935,1,8,1/20/35,NULL,Athletic,Arenas Club,8:0
1934-1935,1,8,1/20/35,NULL,Espanyol,Real Betis,1:1
1934-1935,1,8,1/20/35,NULL,Real Oviedo,Donostia,4:0
1934-1935,1,8,1/20/35,NULL,Athletic Madrid,Valencia,5:2
1934-1935,1,8,1/20/35,NULL,Racing,Real Madrid,1:2
1934-1935,1,8,1/20/35,NULL,Sevilla FC,Barcelona,3:1
1934-1935,1,9,1/27/35,NULL,Valencia,Real Madrid,4:1
1934-1935,1,9,1/27/35,NULL,Barcelona,Racing,1:1
1934-1935,1,9,1/27/35,NULL,Athletic Madrid,Real Oviedo,3:3
1934-1935,1,9,1/27/35,NULL,Arenas Club,Sevilla FC,3:2
1934-1935,1,9,1/27/35,NULL,Real Betis,Athletic,1:0
1934-1935,1,9,1/27/35,NULL,Donostia,Espanyol,1:4
1934-1935,1,10,2/3/35,NULL,Real Madrid,Barcelona,8:2
1934-1935,1,10,2/3/35,NULL,Espanyol,Athletic Madrid,0:2
1934-1935,1,10,2/3/35,NULL,Athletic,Donostia,7:0
1934-1935,1,10,2/3/35,NULL,Sevilla FC,Real Betis,0:3
1934-1935,1,10,2/3/35,NULL,Valencia,Real Oviedo,0:4
1934-1935,1,10,2/3/35,NULL,Racing,Arenas Club,0:0
1934-1935,1,11,2/10/35,NULL,Real Betis,Racing,3:1
1934-1935,1,11,2/10/35,NULL,Arenas Club,Real Madrid,1:2
1934-1935,1,11,2/10/35,NULL,Athletic Madrid,Athletic,2:2
1934-1935,1,11,2/10/35,NULL,Real Oviedo,Espanyol,8:3
1934-1935,1,11,2/10/35,NULL,Barcelona,Valencia,3:2
1934-1935,1,11,2/10/35,NULL,Donostia,Sevilla FC,0:0
1934-1935,1,12,2/17/35,NULL,Arenas Club,Barcelona,2:2
1934-1935,1,12,2/17/35,NULL,Real Oviedo,Athletic,3:2
1934-1935,1,12,2/17/35,NULL,Espanyol,Valencia,1:2
1934-1935,1,12,2/17/35,NULL,Athletic Madrid,Sevilla FC,1:0
1934-1935,1,12,2/17/35,NULL,Donostia,Racing,2:3
1934-1935,1,12,2/17/35,NULL,Real Betis,Real Madrid,1:0
1934-1935,1,13,2/24/35,NULL,Athletic,Espanyol,1:2
1934-1935,1,13,2/24/35,NULL,Racing,Athletic Madrid,2:2
1934-1935,1,13,2/24/35,NULL,Real Madrid,Donostia,2:0
1934-1935,1,13,2/24/35,NULL,Barcelona,Real Betis,4:0
1934-1935,1,13,2/24/35,NULL,Sevilla FC,Real Oviedo,3:1
1934-1935,1,13,2/24/35,NULL,Valencia,Arenas Club,2:0
1934-1935,1,14,3/3/35,NULL,Espanyol,Sevilla FC,1:4
1934-1935,1,14,3/3/35,NULL,Real Oviedo,Racing,3:0
1934-1935,1,14,3/3/35,NULL,Athletic Madrid,Real Madrid,2:2
1934-1935,1,14,3/3/35,NULL,Donostia,Barcelona,2:1
1934-1935,1,14,3/3/35,NULL,Real Betis,Arenas Club,0:0
1934-1935,1,14,3/3/35,NULL,Athletic,Valencia,4:1
1934-1935,1,15,3/10/35,NULL,Valencia,Real Betis,3:1
1934-1935,1,15,3/10/35,NULL,Real Madrid,Real Oviedo,2:1
1934-1935,1,15,3/10/35,NULL,Arenas Club,Donostia,0:1
1934-1935,1,15,3/10/35,NULL,Barcelona,Athletic Madrid,0:0
1934-1935,1,15,3/10/35,NULL,Racing,Espanyol,2:1
1934-1935,1,15,3/10/35,NULL,Sevilla FC,Athletic,3:0
1934-1935,1,16,3/17/35,NULL,Real Oviedo,Barcelona,4:3
1934-1935,1,16,3/17/35,NULL,Sevilla FC,Valencia,4:2
1934-1935,1,16,3/17/35,NULL,Donostia,Real Betis,2:4
1934-1935,1,16,3/17/35,NULL,Athletic,Racing,4:2
1934-1935,1,16,3/17/35,NULL,Athletic Madrid,Arenas Club,3:1
1934-1935,1,16,3/17/35,NULL,Espanyol,Real Madrid,2:4
1934-1935,1,17,3/24/35,NULL,Racing,Sevilla FC,3:2
1934-1935,1,17,3/24/35,NULL,Arenas Club,Real Oviedo,1:2
1934-1935,1,17,3/24/35,NULL,Real Betis,Athletic Madrid,2:0
1934-1935,1,17,3/24/35,NULL,Barcelona,Espanyol,2:2
1934-1935,1,17,3/24/35,NULL,Real Madrid,Athletic,5:2
1934-1935,1,17,3/24/35,NULL,Valencia,Donostia,7:1
1934-1935,1,18,3/31/35,NULL,Espanyol,Arenas Club,2:0
1934-1935,1,18,3/31/35,NULL,Sevilla FC,Real Madrid,1:3
1934-1935,1,18,3/31/35,NULL,Athletic,Barcelona,3:5
1934-1935,1,18,3/31/35,NULL,Racing,Valencia,5:0
1934-1935,1,18,3/31/35,NULL,Athletic Madrid,Donostia,3:1
1934-1935,1,18,3/31/35,NULL,Real Oviedo,Real Betis,0:1
1934-1935,1,19,4/7/35,NULL,Real Madrid,Racing,3:2
1934-1935,1,19,4/7/35,NULL,Donostia,Real Oviedo,3:5
1934-1935,1,19,4/7/35,NULL,Barcelona,Sevilla FC,2:3
1934-1935,1,19,4/7/35,NULL,Valencia,Athletic Madrid,2:0
1934-1935,1,19,4/7/35,NULL,Arenas Club,Athletic,0:1
1934-1935,1,19,4/7/35,NULL,Real Betis,Espanyol,5:0
1934-1935,1,20,4/14/35,NULL,Racing,Barcelona,2:3
1934-1935,1,20,4/14/35,NULL,Sevilla FC,Arenas Club,4:0
1934-1935,1,20,4/14/35,NULL,Athletic,Real Betis,0:0
1934-1935,1,20,4/14/35,NULL,Espanyol,Donostia,4:1
1934-1935,1,20,4/14/35,NULL,Real Madrid,Valencia,3:0
1934-1935,1,20,4/14/35,NULL,Real Oviedo,Athletic Madrid,2:1
1934-1935,1,21,4/21/35,NULL,Barcelona,Real Madrid,5:0
1934-1935,1,21,4/21/35,NULL,Athletic Madrid,Espanyol,5:2
1934-1935,1,21,4/21/35,NULL,Real Oviedo,Valencia,4:4
1934-1935,1,21,4/21/35,NULL,Real Betis,Sevilla FC,2:2
1934-1935,1,21,4/21/35,NULL,Arenas Club,Racing,0:1
1934-1935,1,21,4/22/35,NULL,Donostia,Athletic,0:4
1934-1935,1,22,4/28/35,NULL,Real Madrid,Arenas Club,6:1
1934-1935,1,22,4/28/35,NULL,Valencia,Barcelona,1:1
1934-1935,1,22,4/28/35,NULL,Athletic,Athletic Madrid,5:2
1934-1935,1,22,4/28/35,NULL,Sevilla FC,Donostia,7:2
1934-1935,1,22,4/28/35,NULL,Racing,Real Betis,0:5
1934-1935,1,22,4/28/35,NULL,Espanyol,Real Oviedo,3:2
1935-1936,1,1,11/10/35,NULL,Real Oviedo,Athletic,3:3
1935-1936,1,1,11/10/35,NULL,Valencia,Sevilla FC,5:0
1935-1936,1,1,11/10/35,NULL,Athletic Madrid,Racing,1:0
1935-1936,1,1,11/10/35,NULL,Real Betis,CA Osasuna,5:1
1935-1936,1,1,11/10/35,NULL,Hércules CF,Real Madrid,0:1
1935-1936,1,1,11/10/35,NULL,Espanyol,Barcelona,1:0
1935-1936,1,2,11/17/35,NULL,Real Madrid,Espanyol,6:0
1935-1936,1,2,11/17/35,NULL,Racing,Valencia,6:2
1935-1936,1,2,11/17/35,NULL,Barcelona,Athletic Madrid,5:1
1935-1936,1,2,11/17/35,NULL,Athletic,Real Betis,7:0
1935-1936,1,2,11/17/35,NULL,Sevilla FC,Real Oviedo,1:1
1935-1936,1,2,11/17/35,NULL,CA Osasuna,Hércules CF,3:0
1935-1936,1,3,11/24/35,NULL,Real Oviedo,Real Betis,2:3
1935-1936,1,3,11/24/35,NULL,Sevilla FC,Racing,1:2
1935-1936,1,3,11/24/35,NULL,Athletic Madrid,Real Madrid,2:3
1935-1936,1,3,11/24/35,NULL,Valencia,Barcelona,1:2
1935-1936,1,3,11/24/35,NULL,Espanyol,CA Osasuna,3:0
1935-1936,1,3,11/24/35,NULL,Hércules CF,Athletic,1:0
1935-1936,1,4,12/1/35,NULL,Racing,Real Oviedo,2:6
1935-1936,1,4,12/1/35,NULL,Real Betis,Hércules CF,1:1
1935-1936,1,4,12/1/35,NULL,Barcelona,Sevilla FC,4:1
1935-1936,1,4,12/1/35,NULL,CA Osasuna,Athletic Madrid,4:0
1935-1936,1,4,12/1/35,NULL,Real Madrid,Valencia,4:1
1935-1936,1,4,12/1/35,NULL,Athletic,Espanyol,5:2
1935-1936,1,5,12/8/35,NULL,Racing,Barcelona,4:0
1935-1936,1,5,12/8/35,NULL,Athletic Madrid,Athletic,1:2
1935-1936,1,5,12/8/35,NULL,Espanyol,Real Betis,3:0
1935-1936,1,5,12/8/35,NULL,Valencia,CA Osasuna,2:1
1935-1936,1,5,12/8/35,NULL,Real Oviedo,Hércules CF,5:2
1935-1936,1,5,12/8/35,NULL,Sevilla FC,Real Madrid,2:1
1935-1936,1,6,12/15/35,NULL,CA Osasuna,Sevilla FC,6:3
1935-1936,1,6,12/15/35,NULL,Real Betis,Athletic Madrid,3:0
1935-1936,1,6,12/15/35,NULL,Real Madrid,Racing,2:4
1935-1936,1,6,12/15/35,NULL,Hércules CF,Espanyol,2:1
1935-1936,1,6,12/15/35,NULL,Athletic,Valencia,3:2
1935-1936,1,6,12/15/35,NULL,Barcelona,Real Oviedo,5:2
1935-1936,1,7,12/22/35,NULL,Athletic Madrid,Hércules CF,1:2
1935-1936,1,7,12/22/35,NULL,Barcelona,Real Madrid,0:3
1935-1936,1,7,12/22/35,NULL,Sevilla FC,Athletic,0:2
1935-1936,1,7,12/22/35,NULL,Real Oviedo,Espanyol,5:2
1935-1936,1,7,12/22/35,NULL,Valencia,Real Betis,0:2
1935-1936,1,7,12/22/35,NULL,Racing,CA Osasuna,3:1
1935-1936,1,8,12/29/35,NULL,Athletic,Racing,6:1
1935-1936,1,8,12/29/35,NULL,Real Madrid,Real Oviedo,5:4
1935-1936,1,8,12/29/35,NULL,Real Betis,Sevilla FC,1:0
1935-1936,1,8,12/29/35,NULL,Espanyol,Athletic Madrid,2:3
1935-1936,1,8,12/29/35,NULL,CA Osasuna,Barcelona,0:1
1935-1936,1,8,12/29/35,NULL,Hércules CF,Valencia,2:0
1935-1936,1,9,1/5/36,NULL,Barcelona,Athletic,2:0
1935-1936,1,9,1/5/36,NULL,Sevilla FC,Hércules CF,1:2
1935-1936,1,9,1/5/36,NULL,Real Madrid,CA Osasuna,6:2
1935-1936,1,9,1/5/36,NULL,Racing,Real Betis,5:1
1935-1936,1,9,1/5/36,NULL,Valencia,Espanyol,1:0
1935-1936,1,9,1/5/36,NULL,Real Oviedo,Athletic Madrid,4:1
1935-1936,1,10,1/12/36,NULL,Athletic,Real Madrid,1:0
1935-1936,1,10,1/12/36,NULL,Real Betis,Barcelona,2:0
1935-1936,1,10,1/12/36,NULL,Athletic Madrid,Valencia,2:2
1935-1936,1,10,1/12/36,NULL,Espanyol,Sevilla FC,6:1
1935-1936,1,10,1/12/36,NULL,Hércules CF,Racing,4:1
1935-1936,1,10,1/12/36,NULL,Real Oviedo,CA Osasuna,5:2
1935-1936,1,11,1/26/36,NULL,Barcelona,Hércules CF,1:0
1935-1936,1,11,1/26/36,NULL,CA Osasuna,Athletic,4:1
1935-1936,1,11,1/26/36,NULL,Racing,Espanyol,4:0
1935-1936,1,11,1/26/36,NULL,Sevilla FC,Athletic Madrid,1:1
1935-1936,1,11,1/26/36,NULL,Real Madrid,Real Betis,5:1
1935-1936,1,11,1/26/36,NULL,Valencia,Real Oviedo,1:1
1935-1936,1,12,2/2/36,NULL,Sevilla FC,Valencia,1:2
1935-1936,1,12,2/2/36,NULL,Racing,Athletic Madrid,5:2
1935-1936,1,12,2/2/36,NULL,CA Osasuna,Real Betis,6:0
1935-1936,1,12,2/2/36,NULL,Athletic,Real Oviedo,4:2
1935-1936,1,12,2/2/36,NULL,Real Madrid,Hércules CF,5:1
1935-1936,1,12,2/2/36,NULL,Barcelona,Espanyol,2:0
1935-1936,1,13,2/9/36,NULL,Espanyol,Real Madrid,3:0
1935-1936,1,13,2/9/36,NULL,Athletic Madrid,Barcelona,0:3
1935-1936,1,13,2/9/36,NULL,Real Betis,Athletic,1:2
1935-1936,1,13,2/9/36,NULL,Real Oviedo,Sevilla FC,0:0
1935-1936,1,13,2/9/36,NULL,Valencia,Racing,1:0
1935-1936,1,13,2/9/36,NULL,Hércules CF,CA Osasuna,1:0
1935-1936,1,14,2/15/36,NULL,Barcelona,Valencia,0:0
1935-1936,1,14,2/16/36,NULL,Real Betis,Real Oviedo,1:2
1935-1936,1,14,2/16/36,NULL,CA Osasuna,Espanyol,6:1
1935-1936,1,14,2/16/36,NULL,Real Madrid,Athletic Madrid,3:1
1935-1936,1,14,2/23/36,NULL,Racing,Sevilla FC,3:0
1935-1936,1,14,3/19/36,NULL,Athletic,Hércules CF,5:3
1935-1936,1,15,3/1/36,NULL,Real Oviedo,Racing,4:2
1935-1936,1,15,3/1/36,NULL,Athletic Madrid,CA Osasuna,2:0
1935-1936,1,15,3/1/36,NULL,Hércules CF,Real Betis,3:0
1935-1936,1,15,3/1/36,NULL,Espanyol,Athletic,2:0
1935-1936,1,15,3/1/36,NULL,Sevilla FC,Barcelona,2:1
1935-1936,1,15,3/1/36,NULL,Valencia,Real Madrid,1:2
1935-1936,1,16,3/8/36,NULL,CA Osasuna,Valencia,2:3
1935-1936,1,16,3/8/36,NULL,Athletic,Athletic Madrid,3:1
1935-1936,1,16,3/8/36,NULL,Real Madrid,Sevilla FC,3:3
1935-1936,1,16,3/8/36,NULL,Hércules CF,Real Oviedo,1:0
1935-1936,1,16,3/8/36,NULL,Barcelona,Racing,2:3
1935-1936,1,16,3/8/36,NULL,Real Betis,Espanyol,3:0
1935-1936,1,17,3/15/36,NULL,Athletic Madrid,Real Betis,5:0
1935-1936,1,17,3/15/36,NULL,Espanyol,Hércules CF,3:2
1935-1936,1,17,3/15/36,NULL,Valencia,Athletic,1:1
1935-1936,1,17,3/15/36,NULL,Real Oviedo,Barcelona,2:1
1935-1936,1,17,3/15/36,NULL,Racing,Real Madrid,4:3
1935-1936,1,17,3/15/36,NULL,Sevilla FC,CA Osasuna,2:0
1935-1936,1,18,3/22/36,NULL,CA Osasuna,Racing,3:1
